file_size,entropy,entry_point,num_sections,num_segments,text_size,data_size,rodata_size,bss_size,num_dynsym,num_symtab,is_stripped,is_pie,suspicious_strings,label
68304,3.715932685025136,13824,31,13,16556,344,5612,440,102,0,1,1,4,0
134416,5.813655020273897,14016,30,10,89004,984,7134,50440,124,0,1,1,1,0
67824,0.735522822505657,4352,29,12,1320,16,328,8,27,0,1,1,0,0
67824,0.991055622669452,6592,29,12,2856,16,296,8,35,0,1,1,0,0
134216,4.825655751564196,8896,30,12,61832,792,5780,384,78,0,1,1,1,0
67904,2.784397502115375,12544,30,12,8536,16,4800,8,43,0,1,1,0,0
67752,2.424655956700444,5376,27,9,10048,84,4904,40,51,0,1,1,1,0
461312,5.3605901091204755,47168,30,12,214784,204,148216,5880,350,0,1,1,2,0
67928,0.8475534513038337,4992,30,12,1300,24,624,8,33,0,1,1,0,0
67784,1.462655099705328,6464,29,10,2328,24,4097,8,37,0,1,1,1,0
1184336,6.034505009754235,125696,31,12,597808,2056,223092,10744,140,0,1,1,2,0
67824,0.6172126503110971,3712,29,12,1000,16,177,8,24,0,1,1,0,0
67824,0.6717755668179194,4096,29,12,1256,16,189,24,24,0,1,1,0,0
1448288,6.016023834230713,203136,30,10,815812,4136,148496,816,135,0,1,1,2,0
68136,2.854308033272901,8768,31,13,14276,168,2607,312,64,0,1,1,1,0
133688,5.473892735301039,17536,30,13,70020,344,8505,2208,145,0,1,1,2,0
67992,2.1419365456469737,12928,30,12,8172,97,1099,1312,56,0,1,1,0,0
68184,3.3465458041944167,9280,31,13,18116,216,3247,45384,63,0,1,1,1,0
68184,3.0661740278327665,10368,31,13,14948,216,3973,368,65,0,1,1,2,0
68104,2.345883788003313,7104,31,13,11012,136,2399,16,50,0,1,1,1,0
67904,2.7424932284007233,7168,30,12,12652,16,3872,104,44,0,1,1,0,0
67896,1.858336233618238,4736,31,13,2024,16,8019,8,31,0,1,1,0,0
67864,1.6939009556526916,5632,29,12,5660,56,2224,8232,43,0,1,1,0,0
67824,0.7670916516682741,4800,29,12,1384,16,224,8,31,0,1,1,0,0
397328,6.145648143936488,115072,30,12,206300,1832,24861,19272,999,0,1,1,1,0
136976,6.199417259106757,20160,30,12,89528,3552,12149,1808,154,0,1,1,3,0
67832,0.9010291422542833,5376,29,12,1756,16,882,16,36,0,1,1,0,0
68184,1.1020967909181911,5696,30,12,2924,304,1224,8,34,0,1,1,0,0
68360,2.815134089034098,15424,31,13,11748,400,4332,32,68,0,1,1,0,0
75328,3.5883632844103888,9664,31,13,15660,7448,6113,48,89,0,1,1,0,0
