file_size,pipe_count,redirect_count,curl_wget_count,nc_netcat_count,bash_sh_count,eval_exec_count,reverse_shell,base64_encoding,credential_access,ssh_usage,cron_systemd,sudo_usage,hidden_files,has_ip_address,has_port,script_length,line_count,comment_ratio,semicolon_count,ampersand_count,hex_encoding,long_lines,label,path
80,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,80,3,1.0,0,0,1,0,1,synthetic-malware/lotl-attacks/obfuscated_70.sh
96,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,96,3,1.0,0,0,0,0,1,synthetic-malware/lotl-attacks/data_exfil_27.sh
142,0,0,0,0,3,1,0,0,0,1,0,0,0,1,0,142,4,0.75,0,0,0,0,1,synthetic-malware/lotl-attacks/lateral_28.sh
98,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,98,4,0.75,0,0,0,0,1,synthetic-malware/lotl-attacks/privesc_44.sh
103,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,103,4,0.75,0,0,0,0,1,synthetic-malware/lotl-attacks/cred_dump_39.sh
115,2,0,0,1,1,1,0,0,0,0,0,0,0,1,0,115,3,1.0,0,0,0,0,1,synthetic-malware/lotl-attacks/data_exfil_45.sh
142,0,0,0,0,3,1,0,0,0,1,0,0,0,1,0,142,4,0.75,0,0,0,0,1,synthetic-malware/lotl-attacks/lateral_10.sh
99,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,99,3,1.0,0,0,0,0,1,synthetic-malware/lotl-attacks/persistence_63.sh
99,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,99,3,1.0,0,0,0,0,1,synthetic-malware/lotl-attacks/persistence_75.sh
115,2,0,0,1,1,1,0,0,0,0,0,0,0,1,0,115,3,1.0,0,0,0,0,1,synthetic-malware/lotl-attacks/data_exfil_9.sh
82,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,82,4,0.75,0,0,0,0,1,synthetic-malware/lotl-attacks/privesc_60.sh
83,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,83,5,0.6,0,0,0,0,1,synthetic-malware/lotl-attacks/discovery_39.sh
96,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,96,3,1.0,0,0,0,0,1,synthetic-malware/lotl-attacks/data_exfil_79.sh
173,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,173,3,1.0,2,0,0,0,1,synthetic-malware/lotl-attacks/reverse_shell_68.sh
90,1,0,0,0,1,2,0,0,0,0,0,0,1,0,0,90,3,1.0,0,0,0,0,1,synthetic-malware/lotl-attacks/obfuscated_8.sh
99,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,99,3,1.0,0,0,0,0,1,synthetic-malware/lotl-attacks/persistence_78.sh
128,2,0,0,0,2,1,0,1,0,0,0,0,0,0,0,128,3,1.0,0,0,0,0,1,synthetic-malware/lotl-attacks/obfuscated_15.sh
80,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,80,3,1.0,0,0,1,0,1,synthetic-malware/lotl-attacks/obfuscated_97.sh
103,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,103,4,0.75,0,0,0,0,1,synthetic-malware/lotl-attacks/cred_dump_83.sh
90,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,90,3,1.0,0,0,0,0,1,synthetic-malware/lotl-attacks/data_exfil_94.sh
82,0,0,0,0,2,1,0,0,0,0,0,1,0,0,0,82,4,0.75,0,0,0,0,1,synthetic-malware/lotl-attacks/privesc_63.sh
83,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,83,5,0.6,0,0,0,0,1,synthetic-malware/lotl-attacks/discovery_23.sh
